ticker,assetName,market,assetType,dividendYield,yieldStatus,yieldSource,rawSourceValue,sourceFile
491630,RISE 미국반도체인버스(합성 H),KR,ETF,8.14,manual,k_etf_rank_dividend_yield,8.14%,k-etf_rank_dividend_yield.csv
0094M0,RISE 코리아밸류업위클리고정커버드콜,KR,ETF,7.88,manual,k_etf_rank_dividend_yield,7.88%,k-etf_rank_dividend_yield.csv
472920,HK 종합채권(AA-이상)액티브,KR,ETF,7.47,manual,k_etf_rank_dividend_yield,7.47%,k-etf_rank_dividend_yield.csv
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,KR,ETF,7.34,manual,k_etf_rank_dividend_yield,7.34%,k-etf_rank_dividend_yield.csv
429740,PLUS K리츠,KR,ETF,7.2,manual,k_etf_rank_dividend_yield,7.20%,k-etf_rank_dividend_yield.csv
289480,TIGER 200커버드콜,KR,ETF,6.83,manual,k_etf_rank_dividend_yield,6.83%,k-etf_rank_dividend_yield.csv
455660,ACE 미국하이일드액티브(H),KR,ETF,6.74,manual,k_etf_rank_dividend_yield,6.74%,k-etf_rank_dividend_yield.csv
352540,KODEX 일본부동산리츠(H),KR,ETF,6.44,manual,k_etf_rank_dividend_yield,6.44%,k-etf_rank_dividend_yield.csv
460960,ACE 글로벌인컴TOP10,KR,ETF,6.39,manual,k_etf_rank_dividend_yield,6.39%,k-etf_rank_dividend_yield.csv
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),KR,ETF,6.37,manual,k_etf_rank_dividend_yield,6.37%,k-etf_rank_dividend_yield.csv
468380,KODEX iShares미국하이일드액티브,KR,ETF,6.2,manual,k_etf_rank_dividend_yield,6.20%,k-etf_rank_dividend_yield.csv
341850,TIGER 리츠부동산인프라채권,KR,ETF,6.13,manual,k_etf_rank_dividend_yield,6.13%,k-etf_rank_dividend_yield.csv
480460,WON 한국부동산TOP3플러스,KR,ETF,6.09,manual,k_etf_rank_dividend_yield,6.09%,k-etf_rank_dividend_yield.csv
354240,RISE 미국고정배당우선증권,KR,ETF,6.09,manual,k_etf_rank_dividend_yield,6.09%,k-etf_rank_dividend_yield.csv
0049M0,ACE 미국배당퀄리티+커버드콜액티브,KR,ETF,5.74,manual,k_etf_rank_dividend_yield,5.74%,k-etf_rank_dividend_yield.csv
458750,TIGER 미국배당다우존스타겟커버드콜1호,KR,ETF,5.41,manual,k_etf_rank_dividend_yield,5.41%,k-etf_rank_dividend_yield.csv
0128D0,PLUS 차이나항셍테크위클리타겟커버드콜,KR,ETF,5.4,manual,k_etf_rank_dividend_yield,5.40%,k-etf_rank_dividend_yield.csv
487950,KODEX 대만테크고배당다우존스,KR,ETF,5.13,manual,k_etf_rank_dividend_yield,5.13%,k-etf_rank_dividend_yield.csv
484790,KODEX 미국30년국채액티브(H),KR,ETF,5.1,manual,k_etf_rank_dividend_yield,5.10%,k-etf_rank_dividend_yield.csv
0104P0,TIGER 코리아배당다우존스위클리커버드콜,KR,ETF,5.1,manual,k_etf_rank_dividend_yield,5.10%,k-etf_rank_dividend_yield.csv
316300,ACE 싱가포르리츠,KR,ETF,5.09,manual,k_etf_rank_dividend_yield,5.09%,k-etf_rank_dividend_yield.csv
458260,TIGER 미국투자등급회사채액티브(H),KR,ETF,4.94,manual,k_etf_rank_dividend_yield,4.94%,k-etf_rank_dividend_yield.csv
476850,KoAct 배당성장액티브,KR,ETF,4.65,manual,k_etf_rank_dividend_yield,4.65%,k-etf_rank_dividend_yield.csv
437080,KODEX 미국종합채권ESG액티브(H),KR,ETF,4.51,manual,k_etf_rank_dividend_yield,4.51%,k-etf_rank_dividend_yield.csv
481340,RISE 미국30년국채액티브,KR,ETF,4.49,manual,k_etf_rank_dividend_yield,4.49%,k-etf_rank_dividend_yield.csv
441800,TIME Korea플러스배당액티브,KR,ETF,4.4,manual,k_etf_rank_dividend_yield,4.40%,k-etf_rank_dividend_yield.csv
0036D0,TIME 미국배당다우존스액티브,KR,ETF,4.39,manual,k_etf_rank_dividend_yield,4.39%,k-etf_rank_dividend_yield.csv
104530,KIWOOM 코리아고배당,KR,ETF,4.28,manual,k_etf_rank_dividend_yield,4.28%,k-etf_rank_dividend_yield.csv
0086B0,TIGER 리츠부동산인프라TOP10액티브,KR,ETF,4.24,manual,k_etf_rank_dividend_yield,4.24%,k-etf_rank_dividend_yield.csv
385560,RISE KIS국고채30년Enhanced,KR,ETF,4.23,manual,k_etf_rank_dividend_yield,4.23%,k-etf_rank_dividend_yield.csv
0138T0,RISE 미국S&P500데일리고정커버드콜,KR,ETF,4.21,manual,k_etf_rank_dividend_yield,4.21%,k-etf_rank_dividend_yield.csv
332620,PLUS 미국장기우량회사채,KR,ETF,4.07,manual,k_etf_rank_dividend_yield,4.07%,k-etf_rank_dividend_yield.csv
447430,ACE 주주환원가치주액티브,KR,ETF,4.01,manual,k_etf_rank_dividend_yield,4.01%,k-etf_rank_dividend_yield.csv
468630,KODEX iShares미국투자등급회사채액티브,KR,ETF,4.01,manual,k_etf_rank_dividend_yield,4.01%,k-etf_rank_dividend_yield.csv
453850,ACE 미국30년국채액티브(H),KR,ETF,3.97,manual,k_etf_rank_dividend_yield,3.97%,k-etf_rank_dividend_yield.csv
322410,HANARO K고배당,KR,ETF,3.96,manual,k_etf_rank_dividend_yield,3.96%,k-etf_rank_dividend_yield.csv
167860,KIWOOM 국고채10년레버리지,KR,ETF,3.9,manual,k_etf_rank_dividend_yield,3.90%,k-etf_rank_dividend_yield.csv
497780,KoAct 미국천연가스인프라액티브,KR,ETF,3.81,manual,k_etf_rank_dividend_yield,3.81%,k-etf_rank_dividend_yield.csv
217780,TIGER 차이나CSI300인버스(합성),KR,ETF,3.8,manual,k_etf_rank_dividend_yield,3.80%,k-etf_rank_dividend_yield.csv
476760,ACE 미국30년국채액티브,KR,ETF,3.73,manual,k_etf_rank_dividend_yield,3.73%,k-etf_rank_dividend_yield.csv
0048J0,KODEX 미국머니마켓액티브,KR,ETF,3.71,manual,k_etf_rank_dividend_yield,3.71%,k-etf_rank_dividend_yield.csv
251590,PLUS 고배당저변동50,KR,ETF,3.69,manual,k_etf_rank_dividend_yield,3.69%,k-etf_rank_dividend_yield.csv
498180,파워 종합채권(AA-이상)액티브,KR,ETF,3.57,manual,k_etf_rank_dividend_yield,3.57%,k-etf_rank_dividend_yield.csv
148070,KIWOOM 국고채10년,KR,ETF,3.57,manual,k_etf_rank_dividend_yield,3.57%,k-etf_rank_dividend_yield.csv
250730,RISE 차이나HSCEI(H),KR,ETF,3.55,manual,k_etf_rank_dividend_yield,3.55%,k-etf_rank_dividend_yield.csv
279530,KODEX 고배당주,KR,ETF,3.54,manual,k_etf_rank_dividend_yield,3.54%,k-etf_rank_dividend_yield.csv
464240,KIWOOM 26-09회사채(AA-이상)액티브,KR,ETF,3.52,manual,k_etf_rank_dividend_yield,3.52%,k-etf_rank_dividend_yield.csv
0022T0,SOL 국제금커버드콜액티브,KR,ETF,3.48,manual,k_etf_rank_dividend_yield,3.48%,k-etf_rank_dividend_yield.csv
181480,ACE 미국부동산리츠(합성 H),KR,ETF,3.46,manual,k_etf_rank_dividend_yield,3.46%,k-etf_rank_dividend_yield.csv
