market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
KR,289170,-1.77,-1.77,-72.42,0.25,2.6,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,473950,-0.66,-0.66,-5.71,0.03,1.84,^KQ11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,472230,-0.64,-0.64,-7.01,0.02,2.23,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,447690,-29.84,-29.84,-73.62,0.01,3.41,^KS11,ready,yfinance_kr_close_price_20260528,
KR,199290,-26.34,-26.34,-97.2,0.07,9.46,^KS11,ready,yfinance_kr_close_price_20260528,
KR,473000,-0.82,-0.82,-6.47,0.02,2.05,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,327610,-35.0,-35.0,-98.07,0.08,6.88,^KS11,ready,yfinance_kr_close_price_20260528,
KR,014915,-5.3,-5.3,-89.7,0.5,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,266470,-47.11,-47.11,-97.71,0.15,5.85,^KS11,ready,yfinance_kr_close_price_20260528,
KR,383220,-2.04,-2.04,-75.84,0.58,5.02,^KS11,ready,yfinance_kr_close_price_20260528,
KR,263750,9.71,9.71,-80.85,0.51,8.7,^KS11,ready,yfinance_kr_close_price_20260528,
KR,204320,3.49,3.49,-75.04,1.07,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,031980,46.23,46.23,-65.64,1.18,7.0,^KS11,ready,yfinance_kr_close_price_20260528,
KR,237690,11.18,11.18,-77.93,0.96,9.92,^KS11,ready,yfinance_kr_close_price_20260528,
KR,032820,35.81,35.81,-84.36,1.12,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,058610,36.26,36.26,-73.84,1.2,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,218410,26.4,26.4,-77.55,0.97,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006360,0.26,0.26,-76.69,1.06,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,071970,-16.33,-16.33,-99.86,0.84,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,009970,12.47,12.47,-60.69,0.57,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,483650,70.84,70.84,-49.39,0.46,1.01,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,004990,-11.98,-11.98,-78.32,0.73,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,098460,15.67,15.67,-74.25,1.08,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,131290,36.69,36.69,-68.81,1.17,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,007340,13.34,13.34,-68.39,0.52,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,012750,-3.64,-3.64,-56.78,0.36,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,026960,-2.8,-2.8,-62.12,0.43,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,229640,28.83,28.83,-55.12,0.83,9.67,^KS11,ready,yfinance_kr_close_price_20260528,
KR,003690,6.31,6.31,-57.89,0.41,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,257720,61.85,61.85,-75.04,0.75,4.65,^KS11,ready,yfinance_kr_close_price_20260528,
KR,095610,22.99,22.99,-76.09,1.32,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,139480,-7.0,-7.0,-82.52,0.64,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000155,24.41,24.41,-72.03,1.09,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,103140,10.85,10.85,-76.45,0.92,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,011210,0.03,0.03,-78.74,1.16,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,051600,-2.88,-2.88,-66.0,0.58,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
